Product Title,Price,Product Condition,Quantity,Shipping Info,Import Charges,Delivery Info,Returns Info
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5D10K37833 Lenovo Miix 700-12ISK Assembly 80QL Assembly ST120SM001AKF Miix4,EUR 149.99,Open boxOpen box“A-Grade - Vom NEUEN originalen Lenovo Tablet gezogen - Getestet und funktionsfähig - einige ”... Read moreabout condition,6 available / 9 sold,EUR 25.00 (approx US $27.27) Economy Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Neumark, Germany","Estimated between Fri, Jul 14 and Fri, Jul 28 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 7 business days.Seller ships within 1 day after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Used - Lenovo ThinkCentre M83 - Intel Core i3 3.4GHz - 8GB - 1TB - Win10 Home,US $35.00,UsedUsed“Pulled as a working system that was upgraded. Kept as spare.”,5 available / 9 sold,"US $169.47 eBay International Shipping. See detailsfor shippingLocated in: Marshfield, Massachusetts, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Tue, Aug 15 and Tue, Sep 5 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 28 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo IdeaCentre 3 07IAB7 Small Desktop PC i5-12400 8GB 512GB 90SM0076UK,GBP 445.99,NewNew,N/A,"GBP 117.87 (approx US $149.57) Expedited Shipping to Egypt via eBay's Global Shipping ProgramThis amount includes seller specified domestic shipping charges as well as applicable international shipping, handling, and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions. See detailsfor shippingLocated in: Nottingham, United Kingdom","Est. £89.23 Amount confirmed at checkoutThis amount includes applicable customs duties, taxes, brokerage and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions","Estimated between Fri, Jul 14 and Tue, Jul 18 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Includes international tracking",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"New/Orig Lenovo ThinkPad X13 Yoga Gen 1 13.3"" FHD Touch Lcd Screen for SM Camera",US $179.99,NewNew,Last One / 2 sold,US $30.00 Expedited International Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: CN, China","Estimated between Thu, Jul 13 and Fri, Jul 21 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Seller ships within 2 days after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo - Thinkcenter M920 Intel Core i7-8700 16GB RAM 512GB SSD,US $480.00,Open boxOpen box“Product has been opened but its interior is new!”,N/A,"US $210.97 eBay International Shipping. See detailsfor shippingLocated in: Sun Valley, California, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Wed, Aug 16 and Tue, Sep 5 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 26 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"Lenovo FRU SD10W69519 P/N: 14.0"" IPS FHD AG display screen panel matte small brd",GBP 95.02,NewNew,More than 10 available,GBP 21.95 (approx US $27.85) Standard Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Ipswich, United Kingdom","Estimated between Fri, Jul 14 and Fri, Jul 28 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 7 business days.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo Think Centre M710s Intel Core i5-7400 3.00GHz 16GB 512GB Windows 10 Pro,US $189.05,"UsedUsed“The computer has been professionally refurbished and tested. Might have some scratches, blemishes, ”... Read moreabout condition",2 available,"US $109.01 eBay International Shipping. See detailsfor shippingLocated in: Owings Mills, Maryland, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
5D10M14145 - D3 DISPLAY LCD Module C 80V5 FHD / SMALL BUBBLES ON DISPLAY,US $14.99/ea,Seller refurbishedSeller refurbished,2 available,US $70.40 USPS Priority Mail InternationalTM. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Houston, Texas, United States","Estimated between Fri, Jul 21 and Fri, Aug 18 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 11 business days.Seller ships within 1 day after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
New/Orig Lenovo ThinkPad X1 Yoga 2nd Touch Lcd Screen FHD NAR SM Camera 01AX893,US $196.66,NewNew,5 available,US $28.00 Expedited International Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: CN, China","Estimated between Thu, Jul 13 and Fri, Jul 21 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Seller ships within 2 days after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
